,name,github_id,pypi_id,category,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,new_addition,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitee_id,gitee_url,watchers_count,trending,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,docs_url
10,BIT-DA/RIPU,BIT-DA/RIPU,,apollo,,https://github.com/BIT-DA/RIPU,,,2.0,https://github.com/BIT-DA/RIPU,MIT,2022-03-13 06:24:18.000,2023-10-22 12:02:53,7,20.0,,152.0,[CVPR 2022 Oral] Towards Fewer Annotations: Active Learning via Region Impurity and Prediction Uncertainty for Domain..,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
11,Web VPN Converter,spencerwooo/bit-webvpn-converter,,edu-cn,['web'],https://webvpn.swo.moe/,,,7.0,https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50.000,2026-01-30 18:46:23,7,30.0,3.0,88.0,Web VPN converter.,,,,,,,,True,2.0,,,,,,,,,,,,,,,,,,,,,
12,BIT-CS,xiabee/BIT-CS,,learning,,https://github.com/xiabee/BIT-CS,,,1.0,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55.000,2021-12-14 11:20:18,7,27.0,2.0,85.0,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
13,vouv/srun,vouv/srun,,srun,['go'],https://github.com/vouv/srun,,,8.0,https://github.com/vouv/srun,MIT,2018-09-13 14:25:59.000,2021-01-22 11:21:29,7,12.0,,49.0,北京理工大学校园网命令行登录工具，多系统支持.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
14,Hyperzsb/bit-cs,Hyperzsb/bit-cs,,learning,,https://github.com/Hyperzsb/bit-cs,,,4.0,https://github.com/Hyperzsb/bit-cs,MIT,2019-11-24 08:01:50.000,2021-08-23 13:14:38,7,3.0,,36.0,"Codes and other resources of courses offered in School of Computer Science & Technology, Beijing Institute of..",,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
15,PySPT,,,apollo,['python'],https://spaitlab.gitee.io/py-spt/index.html,,,,,MIT,2022-05-08 18:43:27.000,2026-03-22 10:14:26,7,25.0,,24.0,Python信号处理工具箱 Python Signal Processing Toolbox.,,,,,,,,True,1.0,,,,,,,,,,,,spaitlab/py-spt,https://gitee.com/spaitlab/py-spt,13.0,,,,,,,
16,BIT-enhanced,YDX-2147483647/BIT-enhanced,,edu-cn,['web'],https://ydx-2147483647.github.io/BIT-enhanced/,,,5.0,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2026-07-23 19:26:40,7,3.0,3.0,14.0,一些方便大家使用 BIT 相关网站的用户脚本和用户样式表。.,,,,,,,,True,2.0,,,,,,,,,,,,YDX-2147483647/BIT-enhanced,https://gitee.com/YDX-2147483647/BIT-enhanced,1.0,2.0,,,,,,
17,BIT-enhanced ➡️ BIT-Programming-Detect,YDX-2147483647/BIT-enhanced,,academic,,https://greasyfork.org/scripts/488587-bit-programming-detect,,,5.0,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-10-10 06:46:33,7,2.0,3.0,14.0,通过提交C语言程序，逐字符确定测试用例。为符合编程人员的习惯，字符默认从第0个开始。文本框中输入Enter键可以直接开始探测。在结束文本框输入非数字时，会持续探测。探测到所有的测试用例都OF时探测会结束。支持的测试用例字符：ASCII..,,,,,,,,False,1.0,,,,,,,,,,,,,,,,488587.0,https://greasyfork.org/scripts/488587,https://update.greasyfork.org/scripts/488587/BIT-Programming-Detect.user.js,43.0,5.0,
18,BIT-enhanced ➡️ BIT-乐学-修改侧边栏课程-GUI,YDX-2147483647/BIT-enhanced,,academic,,https://greasyfork.org/scripts/488788-bit-%E4%B9%90%E5%AD%A6-%E4%BF%AE%E6%94%B9%E4%BE%A7%E8%BE%B9%E6%A0%8F%E8%AF%BE%E7%A8%8B-gui,,,5.0,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-10-10 06:46:33,7,2.0,3.0,14.0,修改侧边栏显示的课程.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,488788.0,https://greasyfork.org/scripts/488788,https://update.greasyfork.org/scripts/488788/BIT-%E4%B9%90%E5%AD%A6-%E4%BF%AE%E6%94%B9%E4%BE%A7%E8%BE%B9%E6%A0%8F%E8%AF%BE%E7%A8%8B-GUI.user.js,14.0,5.0,
19,BIT-enhanced ➡️ BIT-物理实验中心-下载日历,YDX-2147483647/BIT-enhanced,,academic,,https://greasyfork.org/scripts/491539-bit-%E7%89%A9%E7%90%86%E5%AE%9E%E9%AA%8C%E4%B8%AD%E5%BF%83-%E4%B8%8B%E8%BD%BD%E6%97%A5%E5%8E%86,,,5.0,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-04-03 10:14:39,7,2.0,3.0,14.0,生成课程表的 iCalendar 文件并下载.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,491539.0,https://greasyfork.org/scripts/491539,https://update.greasyfork.org/scripts/491539/BIT-%E7%89%A9%E7%90%86%E5%AE%9E%E9%AA%8C%E4%B8%AD%E5%BF%83-%E4%B8%8B%E8%BD%BD%E6%97%A5%E5%8E%86.user.js,4.0,5.0,
20,BIT-WEB,Ethan-yt/BIT-WEB,,srun,['web'],https://github.com/Ethan-yt/BIT-WEB,8.0,3.0,1.0,https://github.com/Ethan-yt/BIT-WEB,ISC,2019-04-02 05:04:30.000,2022-02-11 18:53:56,7,1.0,2.0,2.0,北理工上网命令行脚本，支持联通移动.,,,2019-04-02 11:00:08.528,1.0.5,5.0,,37.0,False,2.0,,,,,,,@ethanyt/bit,https://www.npmjs.com/package/@ethanyt/bit,2019-04-02 11:00:08.528,5.0,37.0,,,,,,,,,,
21,bitroom (Book an Incongruent Topological Room Or be Out of Mind),YDX-2147483647/bitroom,bitroom,cal,['python'],https://github.com/YDX-2147483647/bitroom,3.0,3.0,1.0,https://github.com/YDX-2147483647/bitroom,MIT,2023-05-04 13:18:27.000,2023-07-10 14:17:16,7,,2.0,1.0,BIT 场地预约查询接口。（bitroom）🚩🏠.,https://pypi.org/project/bitroom,2023-05-18 01:53:00.446,2023-05-18 01:53:00.446,0.1.5,5.0,,,False,1.0,,,,,,,,,,,,,,,,,,,,,https://github.com/YDX-2147483647/bitroom/wiki
22,QtUnblockNeteaseMusic,FrzMtrsprt/QtUnblockNeteaseMusic,,apollo,,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,,,1.0,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,GPL-3.0,2022-07-22 02:48:10.000,2024-09-05 21:42:56,6,17.0,2.0,627.0,"A desktop client for UnblockNeteaseMusic, made with Qt.",,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
23,BIT-Thesis,BIT-thesis/LaTeX-template,,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,,6.0,https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55.000,2024-03-21 13:18:39,6,94.0,24.0,387.0,LaTeX template for BIT thesis.,,,,,,,,False,1.0,,,,,,,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,1.0,,,,,,,
24,BIT-MiniCC,jiweixing/BIT-MiniCC,,apollo,,https://github.com/jiweixing/BIT-MiniCC,,,2.0,https://github.com/jiweixing/BIT-MiniCC,,2016-04-13 05:47:59.000,2023-05-17 05:40:04,6,111.0,6.0,179.0,A C compiler framework in Java.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
25,BIT101,BIT101-dev/BIT101,,agg,['web'],https://bit101.cn,,,7.0,https://github.com/BIT101-dev/BIT101,AGPL-3.0,2022-02-22 13:24:29.000,2026-02-28 13:15:38,6,20.0,10.0,142.0,百丽宫攻略、课程评价及资料、课表、查成绩。.,,,,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,
26,BIT-CS-Learning,songshangru/BIT-CS-Learning,,learning,,https://github.com/songshangru/BIT-CS-Learning,,,7.0,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41.000,2023-04-10 07:45:10,6,46.0,1.0,117.0,保存一下我自己整理的北理工计科的学习资料，欢迎分享资源.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
27,BITthesis,qiuzhu/BITthesis,,template,['latex'],https://github.com/qiuzhu/BITthesis,,,2.0,https://github.com/qiuzhu/BITthesis,GPL-3.0,2016-08-17 08:41:37.000,2017-10-11 05:32:37,6,24.0,3.0,41.0,Thesis Template of Beijing Institute of Technology Using LaTeX.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
28,Bulletin Issues Transferred,YDX-2147483647/bulletin-issues-transferred,,agg,['web'],https://haobit.top/notice/,,,3.0,https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43.000,2026-01-14 19:28:06,6,2.0,7.0,32.0,汇总 BIT 各种网站的通知。（以及钉钉、RSS插件等）.,,,,,,,,True,1.0,,,,,,,,,,,,YDX-2147483647/bulletin-issues-transferred,https://gitee.com/YDX-2147483647/bulletin-issues-transferred,1.0,,,,,,,
29,BIT_yanhe_download,AuYang261/BIT_yanhe_download,,academic,['python'],https://github.com/AuYang261/BIT_yanhe_download,,,5.0,https://github.com/AuYang261/BIT_yanhe_download,MIT,2023-03-31 09:09:41.000,2023-11-12 13:15:43,6,2.0,,25.0,北京理工大学延河课堂回放下载器.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
30,CTFd-owl,BIT-NSC/CTFd-owl,,misc,"['python', 'web']",https://github.com/BIT-NSC/CTFd-owl,,,1.0,https://github.com/BIT-NSC/CTFd-owl,Apache-2.0,2022-03-26 06:58:14.000,2022-03-26 14:08:47,6,4.0,,23.0,Dynamic Check Challenges with docker-compose for CTFd V3.4.0+.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
31,BIT-thesis-LaTex,jiandahao/BIT-thesis-LaTex,,template,['latex'],https://github.com/jiandahao/BIT-thesis-LaTex,,,2.0,https://github.com/jiandahao/BIT-thesis-LaTex,MIT,2019-05-14 03:08:50.000,2020-05-06 16:07:52,6,9.0,,22.0,北京理工大学学硕士/博士学位毕业论文LaTeX模板（LaTeX Template for BIT thesis）.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
32,faq-bot,YDX-2147483647/faq-bot,,agg,,https://github.com/YDX-2147483647/faq-bot,,,3.0,https://github.com/YDX-2147483647/faq-bot,MIT,2025-05-31 12:12:17.073,2026-06-28 06:18:59,6,1.0,1.0,3.0,BIThesis 交流群和 Typst 非官方中文交流群的机器人。.,,,,,,,,True,1.0,,,,,,,,,,,,,,,3.0,,,,,,
33,Bus Interrogation Tunnel,YDX-2147483647/bus-interrogation-tunnel,bus-interrogation-tunnel,cal,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,3.0,3.0,1.0,https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57.000,2024-03-06 09:34:41,6,,,2.0,BIT 班车查询接口。（bitbus）🚌.,https://pypi.org/project/bus-interrogation-tunnel,2023-03-14 08:51:31.753,2023-03-14 08:51:31.753,0.1.0,1.0,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
34,bit-srun-cli,fangli-li/bit-srun-cli,srun-bit,srun,['python'],https://github.com/fangli-li/bit-srun-cli,,,2.0,https://github.com/fangli-li/bit-srun-cli,MIT,2020-11-14 16:49:11.000,2020-11-30 21:12:06,6,,,2.0,"北理工校园网登录客户端,使用pip安装.",https://pypi.org/project/srun-bit,2020-11-30 21:12:06.000,2020-11-30 21:12:06.000,0.2.2,4.0,36.0,36.0,False,2.0,,,,,,,,,,,,,,,,,,,,,
35,LaTeX-materials,BIT-thesis/LaTeX-materials,,learning,['latex'],https://github.com/BIT-thesis/LaTeX-materials,,,1.0,https://github.com/BIT-thesis/LaTeX-materials,,2017-09-12 03:56:00.000,2017-09-13 03:40:46,5,23.0,,70.0,LaTeX 学习资料 （for BIT-Thesis）.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
36,幻影坦克快速发车工具(带图形界面),Aloxaf/MirageTankGo,,apollo,['python'],https://github.com/Aloxaf/MirageTankGo,,,1.0,https://github.com/Aloxaf/MirageTankGo,GPL-3.0,2018-01-20 15:00:18.000,2019-11-27 07:10:24,5,10.0,,68.0,幻影坦克(特指点开后不一样的图片)快速发车工具.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
37,北京理工大学-本科-人工智能专业-通关经验包,Robin-WZQ/BIT-AI-Review,,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,,3.0,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17.000,2023-06-07 00:37:04,5,10.0,1.0,65.0,本项目分享了本人在北京理工大学计算机学院人工智能专业的相关课程资料与经验分享。希望对你们有所帮助❤️，如果喜欢的话记得给个star哦🌟.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
38,BIT101-Android,BIT101-dev/BIT101-Android,,agg,,https://github.com/BIT101-dev/BIT101-Android,,,5.0,https://github.com/BIT101-dev/BIT101-Android,AGPL-3.0,2026-03-04 07:56:03.719,2025-06-02 09:35:04,5,6.0,8.0,56.0,针对北京理工大学搞的怪安卓.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
39,BIT Computer Science and Technology,fan2goa1/BIT-CS-UnderGraduate,,learning,,https://github.com/fan2goa1/BIT-CS-UnderGraduate,,,2.0,https://github.com/fan2goa1/BIT-CS-UnderGraduate,Apache-2.0,2024-04-17 17:06:47.833,2024-01-11 09:50:10,5,,,52.0,这个仓库存放了北京理工大学计科专业相关课程资料，欢迎Star & PR。.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
40,BIT-srun-login-script,coffeehat/BIT-srun-login-script,,srun,['python'],https://github.com/coffeehat/BIT-srun-login-script,,,6.0,https://github.com/coffeehat/BIT-srun-login-script,,2020-04-01 14:17:26.000,2021-06-16 16:52:30,5,18.0,,45.0,采用python编写的北理深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
41,MIPS 指令集 CPU 设计,bit-mips/bitmips_experiments,,exp,"['asm', 'hdl']",https://github.com/bit-mips/bitmips_experiments,,,4.0,https://github.com/bit-mips/bitmips_experiments,,2024-08-26 01:38:44.340,2020-09-23 06:54:12,5,8.0,,34.0,北京理工大学 MIPS 指令集 CPU 设计系列教学实验.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
42,biteduML,bigablecat/biteduML,,learning,,https://github.com/bigablecat/biteduML,,,1.0,https://github.com/bigablecat/biteduML,,2017-07-05 11:35:09.000,2019-06-13 09:02:47,5,22.0,,32.0,北京理工大学Python机器学习应用超详细学习笔记和代码注释(未完待续).,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
43,SecretWeapon,BITNP/SecretWeapon,,learning,,https://github.com/BITNP/SecretWeapon,,,8.0,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53.000,2021-12-09 03:32:00,5,12.0,,27.0,Secret weapons that arm your studies.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
44,BIThesis-wiki,BITNP/BIThesis-wiki,,template,['latex'],https://bithesis.bitnp.net,,,19.0,https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29.000,2025-02-18 09:56:50,5,5.0,6.0,12.0,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
45,BIT-CourseRace,Jump-Wang-111/BIT-CourseRace,,academic,,https://github.com/Jump-Wang-111/BIT-CourseRace,,,3.0,https://github.com/Jump-Wang-111/BIT-CourseRace,MIT,2024-09-02 03:49:48.808,2024-01-25 06:24:26,5,,,12.0,北京理工大学研究生抢课脚本，2024年1月版.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
46,xioneko/延河课堂视频下载,xioneko/yanhekt-downloader,,academic,,https://greasyfork.org/scripts/496320-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD,,,2.0,https://github.com/xioneko/yanhekt-downloader,MIT,2024-05-28 09:37:10.000,2024-08-13 13:06:04,5,1.0,1.0,7.0,一个开箱即用的延河课堂视频下载脚本，用户界面友好，傻瓜式操作.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,496320.0,https://greasyfork.org/scripts/496320,https://update.greasyfork.org/scripts/496320/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD.user.js,131.0,5.0,
47,北京理工大学物理实验报告,laonuo2004/BIT_Physics_experiments,,learning,,https://github.com/laonuo2004/BIT_Physics_experiments,,,1.0,https://github.com/laonuo2004/BIT_Physics_experiments,MIT,2025-03-06 22:14:15.817,2025-03-02 14:10:08,5,3.0,1.0,6.0,北京理工大学物理实验报告.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
48,poems-2023 ➡️ 综测表一生成表二,BITNP/poems-2023,,office,,https://github.com/BITNP/poems-2023,,,3.0,https://github.com/BITNP/poems-2023,MIT,2023-05-24 07:52:42.000,2023-08-01 16:08:22,5,1.0,,5.0,睿信书院综测需填写两表，其中表二是汇总表，内容来自表一。每次填写不免繁琐，因此开发这个小软件，自动根据表一内容生成表二，手动粘贴即可快速完成填写。.,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,
49,BIT北理工一键评教 - pj.bit.edu.cn,,,academic,['web'],https://greasyfork.org/scripts/456110-bit%E5%8C%97%E7%90%86%E5%B7%A5%E4%B8%80%E9%94%AE%E8%AF%84%E6%95%99-pj-bit-edu-cn-%E5%81%9C%E6%AD%A2%E7%BB%B4%E6%8A%A4,,,,,MIT License,2022-12-06 09:20:16.000,2025-11-29 11:47:31,5,,,,一键完成所有单选项并提交，可自定义评价选项；修复评教按钮不显示的问题.,,,,,,,,True,2.0,,,,,,,,,,,,,,,,456110.0,https://greasyfork.org/scripts/456110,https://update.greasyfork.org/scripts/456110/BIT%E5%8C%97%E7%90%86%E5%B7%A5%E4%B8%80%E9%94%AE%E8%AF%84%E6%95%99%20-%20pjbiteducn%EF%BC%88%E5%81%9C%E6%AD%A2%E7%BB%B4%E6%8A%A4%EF%BC%89.user.js,126.0,34.2,
50,[BIT AutoLogin] 一键登录北理工统一身份认证,,,edu-cn,,https://greasyfork.org/scripts/562208-bit-autologin-%E4%B8%80%E9%94%AE%E7%99%BB%E5%BD%95%E5%8C%97%E7%90%86%E5%B7%A5%E7%BB%9F%E4%B8%80%E8%BA%AB%E4%BB%BD%E8%AE%A4%E8%AF%81,,,,,MIT License,2026-01-11 10:48:39.000,2026-01-11 12:19:47,5,,,,通过 CAS REST API 自动登录所有需要北理工统一身份认证的网站！.,,,,,,,,True,2.0,,,,,,,,,,,,,,,,562208.0,https://greasyfork.org/scripts/562208,https://update.greasyfork.org/scripts/562208/%5BBIT%20AutoLogin%5D%20%E4%B8%80%E9%94%AE%E7%99%BB%E5%BD%95%E5%8C%97%E7%90%86%E5%B7%A5%E7%BB%9F%E4%B8%80%E8%BA%AB%E4%BB%BD%E8%AE%A4%E8%AF%81.user.js,24.0,20.7,
51,北京理工大学-本科-人工智能专业-变得更强秘籍,lyccyl1/BIT-AI,,learning,,https://github.com/lyccyl1/BIT-AI,,,4.0,https://github.com/lyccyl1/BIT-AI,,2026-04-04 18:14:06.852,2025-07-26 06:42:26,4,3.0,,104.0,这是我在北京理工大学人工智能专业学习的一些经验和作业分享，欢迎STAR⭐，还在更新中...,,,,,,,,True,2.0,,,,,,,,,,,,,,,,,,,,,
52,BITCS-2019,bingo123122121/BITCS-2019,,learning,,https://github.com/bingo123122121/BITCS-2019,,,3.0,https://github.com/bingo123122121/BITCS-2019,,2025-03-27 05:46:49.100,2022-12-03 06:05:52,4,1.0,,32.0,本项目是个人整理的北理工计科2019级的学习资料，佛系整理，欢迎分享.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
53,STRAP,leiyaocui/STRAP,,apollo,,https://github.com/leiyaocui/STRAP,,,2.0,https://github.com/leiyaocui/STRAP,,2022-06-07 01:17:20.000,2023-04-13 11:41:52,4,,,29.0,An official implementation of STRAP: Structured Object Affordance Segmentation with Point Supervision.,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,
54,BIT自动请假,YoungKlaus/BIT_Auto_Leave,,cal,['python'],https://github.com/YoungKlaus/BIT_Auto_Leave,,,1.0,https://github.com/YoungKlaus/BIT_Auto_Leave,,2022-09-28 09:14:11.000,2022-10-07 14:44:25,4,13.0,1.0,23.0,北京理工大学自动请假.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
55,BIT_885_Problems,hc495/BIT_885_Problems,,learning,,https://github.com/hc495/BIT_885_Problems,,,1.0,https://github.com/hc495/BIT_885_Problems,MIT,2024-08-21 13:49:55.503,2020-12-20 14:17:43,4,2.0,,20.0,Beijing Institute of Technology - 885 - 北京理工大学“软件工程专业基础综合(885)”初试编程题及解答 - C语言描述.,,,,,,,,False,2.0,,,,,,,,,,,,,,,,,,,,,
56,BIT101-GO,BIT101-dev/BIT101-GO,,agg,['go'],https://bit101.cn,,,6.0,https://github.com/BIT101-dev/BIT101-GO,AGPL-3.0,2026-03-04 07:56:03.767,2025-10-05 14:32:52,4,5.0,2.0,19.0,针对北京理工大学搞的怪东西后面的东西.,,,,,,,,True,3.0,,,,,,,,,,,,,,,,,,,,,
